"Gene > Secondary Identifier","Gene > DB identifier","Gene > Organism . Name","Gene > Proteins > UniProt Accession","Gene > Proteins > UniProt Name"
"CG2621","FBgn0003371","Drosophila melanogaster","P18431","SGG_DROME"
"CG2621","FBgn0003371","Drosophila melanogaster","P18431","SGG_DROME"
"CG2637","FBgn0262743","Drosophila melanogaster","O18388","IMB_DROME"
"CG2671","FBgn0002121","Drosophila melanogaster","P08111","L2GL_DROME"
"CG2671","FBgn0002121","Drosophila melanogaster","P08111","L2GL_DROME"
"CG2671","FBgn0002121","Drosophila melanogaster","P08111","L2GL_DROME"
"CG2671","FBgn0002121","Drosophila melanogaster","P08111","L2GL_DROME"
"CG2718","FBgn0001142","Drosophila melanogaster","P20477","GLNA1_DROME"
"CG2746","FBgn0002607","Drosophila melanogaster","P36241","RL19_DROME"
"CG2835","FBgn0001123","Drosophila melanogaster","P20354","GNAS_DROME"
"CG2835","FBgn0001123","Drosophila melanogaster","P20354","GNAS_DROME"
"CG2849","FBgn0015286","Drosophila melanogaster","P48555","RALA_DROME"
"CG2922","FBgn0250753","Drosophila melanogaster","Q9VNE2","EXBA_DROME"
"CG2934","FBgn0028665","Drosophila melanogaster","Q9W4P5","VA0D1_DROME"
"CG2945","FBgn0000316","Drosophila melanogaster","P39205","CIN_DROME"
"CG2979","FBgn0005391","Drosophila melanogaster","P02844","VIT2_DROME"
"CG2985","FBgn0004045","Drosophila melanogaster","P02843","VIT1_DROME"
"CG2986","FBgn0015521","Drosophila melanogaster","O76927","RS21_DROME"
"CG2986","FBgn0015521","Drosophila melanogaster","O76927","RS21_DROME"
"CG2998","FBgn0030136","Drosophila melanogaster","Q9W334","RS28_DROME"
"CG3024","FBgn0025615","Drosophila melanogaster","O77277","TORS_DROME"
"CG30291","FBgn0050291","Drosophila melanogaster","Q95SK3","CK5P3_DROME"
"CG3039","FBgn0004646","Drosophila melanogaster","P27716","INX1_DROME"
"CG30498","FBgn0004132","Drosophila melanogaster","Q8T9B6","MESD_DROME"
"CG3050","FBgn0038194","Drosophila melanogaster","Q9VFP1","CP6D5_DROME"
"CG31004","FBgn0051004","Drosophila melanogaster","Q0KHY3","Y1004_DROME"
"CG31004","FBgn0051004","Drosophila melanogaster","Q0KHY3","Y1004_DROME"
"CG31127","FBgn0046685","Drosophila melanogaster","P83097","WSCK_DROME"
"CG31136","FBgn0013343","Drosophila melanogaster","Q24547","STX1A_DROME"
"CG31152","FBgn0086253","Drosophila melanogaster","Q8T045","RUMI_DROME"
"CG31196","FBgn0020238","Drosophila melanogaster","P92177","1433E_DROME"
"CG31196","FBgn0020238","Drosophila melanogaster","P92177","1433E_DROME"
"CG31196","FBgn0020238","Drosophila melanogaster","P92177","1433E_DROME"
"CG31196","FBgn0020238","Drosophila melanogaster","P92177","1433E_DROME"
"CG3127","FBgn0250906","Drosophila melanogaster","Q01604","PGK_DROME"
"CG3131","FBgn0031464","Drosophila melanogaster","Q9VQH2","DUOX_DROME"
"CG31363","FBgn0051363","Drosophila melanogaster","Q9I7K0","JUPIT_DROME"
"CG31363","FBgn0051363","Drosophila melanogaster","Q9I7K0","JUPIT_DROME"
