Protein,FS1 A MCF7,FS1 B MCF7,FS2 A MCF7,FS2 B MCF7,FP1 A MCF7,FP1 B MCF7,FP2 A MCF7,FP2 B MCF7,FP3 A MCF7,FP3 B MCF7,MIN PSMs for quant
PCYOX1L,0.2480,0.2341,0.2558,0.1694,1.8146,1.3994,2.8170,2.3309,1.6103,0.8027,18
PCYT1A,0.5331,0.5931,1.3221,1.6323,1.1875,1.0136,1.2847,1.1746,1.2665,1.2580,108
PCYT2,4.4338,4.3381,1.2399,1.1253,0.5977,0.5628,0.5687,0.5665,0.4272,0.5050,58
PDAP1,3.3235,3.0340,1.4631,1.9140,0.4558,0.4870,0.4135,0.3622,0.4392,0.4625,167
PDCD10,4.0317,3.9167,0.8317,0.6968,0.7348,0.7266,0.9931,0.9493,0.6571,0.7760,39
PDCD11,0.5177,0.4761,0.4045,0.4475,2.6389,2.6055,1.2109,1.2492,0.8866,0.8032,224
PDCD2,1.9212,1.7286,1.3688,1.5355,0.9006,0.8706,0.9848,1.0248,0.7546,0.8307,17
PDCD2L,5.3863,4.6259,0.9155,0.8218,0.6390,0.5451,0.5470,0.6231,0.5357,0.6761,10
PDCD4,0.9414,0.9674,1.9043,1.7645,1.0859,0.9656,0.9589,0.9523,0.6834,0.6704,42
PDCD5,4.3243,3.9804,1.1738,1.4673,0.4728,0.4512,0.4226,0.4259,0.3829,0.3384,55
PDCD6,3.0127,2.8201,1.4151,1.1388,0.8759,0.7278,0.9481,0.8574,0.6128,0.4716,55
PDCD6IP,5.2200,4.9642,0.7107,0.7669,0.5261,0.5641,0.6112,0.6218,0.4753,0.5455,252
PDCD7,0.6041,0.5727,0.9648,0.9822,1.2415,1.2607,0.9412,1.0065,2.2417,1.9038,18
PDCL,5.8071,5.3089,1.0379,1.0599,0.4944,0.4371,0.4941,0.4213,0.3907,0.4770,12
PDCL3,4.6749,4.3660,1.0094,0.8893,0.6672,0.6091,0.6267,0.6211,0.6160,0.6603,38
PDDC1,3.2774,2.8459,1.2309,1.4108,0.7285,0.6861,0.9315,0.7557,0.6842,0.6638,12
PDE12,1.4417,1.4460,1.1240,1.0076,1.1631,1.2548,1.5195,1.4976,0.5980,0.6183,48
PDE3B,0.4410,0.5838,0.3466,0.4062,1.2432,1.2541,1.9258,2.1507,1.6185,1.6379,22
PDE4D,1.8250,1.7336,0.9721,1.0868,0.7094,0.9913,1.0942,0.9235,1.1685,1.0063,4
PDE4DIP,2.5454,2.4696,1.2256,1.2952,0.8997,0.8892,0.9022,0.8929,0.7966,0.8411,30
PDE5A,5.6778,5.5123,0.6851,0.7084,0.4907,0.4581,0.5082,0.4918,0.3736,0.4550,38
PDE6D,4.2150,4.1687,1.2701,1.0499,0.6929,0.5883,0.5550,0.5151,0.4240,0.4811,12
PDE7A,3.5836,3.1032,0.9246,0.8275,0.9425,0.8321,0.9425,1.0281,0.8060,0.8814,11
PDE8A,1.2352,1.1034,0.4936,0.5054,1.2486,1.1591,1.9172,1.8434,1.3334,1.4780,41
PDF,0.6490,0.6253,0.4192,0.4016,1.5224,1.5759,1.9869,2.0915,0.9592,0.9556,15
PDGFA,2.6568,2.5996,1.0155,1.1764,0.8240,0.8753,0.9844,0.7775,1.2310,1.2467,2
PDHA1,0.5474,0.5994,0.9528,0.8413,1.3208,1.3877,1.8411,1.8343,1.0240,0.8530,113
PDHB,0.4572,0.4653,0.9242,0.8433,1.3200,1.4929,1.9336,1.8182,1.0001,0.8795,117
PDHX,0.6006,0.5985,0.8115,0.8239,1.3033,1.4613,1.9679,1.8556,1.1829,1.0243,70
PDIA3,0.5255,0.5658,1.2570,1.3827,0.9716,1.0119,1.6611,1.6173,0.9752,0.9675,658
PDIA4,0.4724,0.4829,1.2159,1.2208,0.9825,1.0341,1.8356,1.7940,1.0043,1.0155,846
PDIA5,0.6175,0.5452,0.9817,0.8990,1.1451,1.1663,1.8115,1.8312,1.2576,1.2356,66
PDIA6,0.4799,0.4989,0.9995,1.0070,1.0724,1.0745,1.9920,1.9107,1.1032,1.0091,422
PDIK1L,0.8133,0.8523,0.9940,0.8687,1.6538,1.6792,1.3055,1.2998,0.9266,1.0772,6
PDK1,0.4032,0.3865,0.7333,0.6387,1.5683,1.7488,2.1745,2.1736,0.8093,0.8223,17
PDK2,0.5224,0.5601,0.6832,0.5595,1.5104,1.5335,2.2628,1.9974,0.8562,0.8025,24
PDK3,0.6250,0.6575,0.6346,0.6416,1.4873,1.5711,2.2361,2.1198,0.8704,0.8061,58
PDLIM1,2.3579,2.3225,1.8076,2.2374,0.6704,0.6504,0.5150,0.5379,0.4305,0.4982,115
PDLIM2,1.7712,1.8141,2.1571,2.2204,0.6519,0.7112,0.5959,0.5089,0.4899,0.3988,14
PDLIM5,4.7743,4.9359,0.9066,1.0968,0.5164,0.6217,0.4371,0.5287,0.3716,0.4381,49
PDLIM7,1.7858,1.7615,1.5820,2.0585,0.7873,0.7999,0.7828,0.7796,0.5252,0.6140,86
PDP1,0.6540,0.7079,0.9773,0.9917,1.3594,1.4524,1.8443,1.7820,0.6754,0.7341,41
PDP2,1.1695,1.0944,1.1662,1.1495,1.2174,1.2456,1.8983,1.5448,0.8475,0.7991,2
PDPK1,4.5910,4.2518,0.7929,0.8987,0.6754,0.7124,0.6594,0.7758,0.5022,0.6109,40
PDPR,0.5145,0.5331,0.9442,0.7835,1.4341,1.6179,2.0305,2.1068,0.6304,0.6694,94
PDRG1,3.2071,3.0750,1.2792,1.7695,0.5629,0.5917,0.5038,0.4955,0.6342,0.7581,16
PDS5A,0.4563,0.4619,1.8726,1.7934,1.1421,1.0325,0.9096,0.9186,0.8147,0.8122,225
PDS5B,0.4964,0.5243,1.1863,1.0549,1.7276,1.7358,0.9410,1.0244,0.8426,0.9287,211
