Protein,FS1 A MCF7,FS1 B MCF7,FS2 A MCF7,FS2 B MCF7,FP1 A MCF7,FP1 B MCF7,FP2 A MCF7,FP2 B MCF7,FP3 A MCF7,FP3 B MCF7,MIN PSMs for quant
AHCYL2,4.2996,4.4200,0.9885,1.0836,0.6686,0.6234,0.5866,0.5945,0.5718,0.6374,23
AHDC1,0.6328,0.6894,0.5279,0.5425,1.3016,1.3587,1.0098,1.0107,2.2969,2.2646,57
AHI1,2.3105,1.9790,1.3509,1.2312,0.9663,0.9210,1.1114,1.0697,0.8040,0.9732,4
AHNAK,0.7288,0.7769,1.9190,2.3840,0.9207,0.8904,0.9268,0.8299,0.5626,0.5840,3410
AHNAK2,1.0057,0.9643,1.4969,1.6488,0.9942,0.9665,1.3086,1.0675,0.7889,0.8714,42
AHR,2.6250,2.2063,1.1416,1.1820,0.9065,0.8763,0.9253,1.0251,0.7620,0.8896,31
AHSA1,4.1779,3.9613,0.9159,0.8504,0.7533,0.6924,0.7512,0.7510,0.5174,0.5839,211
AHSG,3.2962,4.0735,0.9535,1.3838,0.5634,0.7861,0.5343,0.8327,0.5469,0.8255,104
AIDA,1.4967,1.3914,1.2538,1.1753,0.8443,0.7700,1.3107,1.2391,1.2245,1.3010,30
AIF1L,2.5821,2.3483,1.5327,1.3375,0.8112,0.8219,0.9809,0.8543,0.6519,0.5988,59
AIFM1,0.4750,0.4792,0.6694,0.7019,1.4909,1.6142,2.3397,2.0517,0.7864,0.7459,258
AIFM2,1.2055,1.1690,0.6034,0.6357,1.2870,1.2502,1.6226,1.7160,1.2732,1.4690,25
AIG1,1.3763,1.1428,0.5397,0.6202,1.3841,1.1498,1.9951,1.8948,1.4897,1.1941,7
AIM1,0.5575,0.5502,0.6043,0.7107,1.6560,1.5477,1.8789,1.8355,1.0581,1.2194,208
AIMP1,2.1997,2.0416,1.1583,1.3124,0.4915,0.5528,0.5395,0.5521,1.9042,2.0288,134
AIMP2,1.9699,1.9275,1.0776,1.1580,0.6443,0.6089,0.6550,0.6297,1.9574,1.6976,104
AIP,3.7552,3.2545,1.2321,1.3148,0.6908,0.6918,0.6421,0.6551,0.4507,0.5211,71
AJUBA,3.1956,3.1807,1.0763,1.2439,0.8423,0.8029,0.8136,0.8860,0.6350,0.6917,19
AK1,4.5912,4.1468,1.4892,1.3937,0.5166,0.4818,0.3995,0.3771,0.3298,0.3030,57
AK2,0.6506,0.6231,1.7192,1.7261,1.0422,1.2990,1.0516,1.3279,0.5017,0.5170,192
AK3,0.5144,0.4979,0.9005,0.7089,1.4594,1.5976,2.2265,2.0850,0.7061,0.6251,122
AK4,0.5902,0.5333,0.8113,0.8387,1.4075,1.6005,2.1602,1.9332,0.9019,0.7817,29
AKAP1,0.6060,0.6383,0.5167,0.5062,1.4411,1.5207,2.2207,2.1028,1.0513,1.0909,180
AKAP10,3.0902,2.8774,1.0057,1.0570,0.8908,0.9124,0.9311,0.8691,0.7141,0.8271,24
AKAP11,1.5872,1.5461,0.7181,0.7698,1.0109,1.0041,1.4966,1.5116,1.4912,1.5501,96
AKAP12,2.5453,2.7607,1.2024,1.2237,0.7358,0.6930,1.1283,0.9101,0.9213,0.9828,150
AKAP13,2.7070,2.5138,1.1661,1.2968,0.8158,0.7912,0.9217,0.9147,0.7704,0.9278,191
AKAP17A,0.4712,0.5885,0.5523,0.5469,1.6677,1.7500,1.0125,1.0232,1.9023,1.8084,59
AKAP5,0.4168,0.4951,0.4519,0.4922,1.4002,1.4733,2.3901,2.0829,1.2210,1.3171,14
AKAP7,0.4836,0.5868,1.5421,2.3160,0.8682,0.8227,0.7839,0.9135,0.7768,0.7501,4
AKAP8,0.5049,0.4037,1.1188,1.1792,1.5064,1.5597,0.9356,0.9633,1.3677,1.5142,93
AKAP8L,0.6109,0.6145,1.2978,1.3686,1.1472,1.1384,1.1530,1.1326,1.2859,1.4407,104
AKAP9,2.2320,2.0997,1.1863,1.3258,0.9167,0.9244,0.9757,0.9573,0.9592,0.9947,565
AKIP1,0.8391,0.8541,0.6466,0.7018,1.4239,1.3233,2.0693,1.7306,1.1634,1.3051,7
AKIRIN1,0.8837,0.8984,1.5796,1.6006,0.9641,1.0170,0.8449,1.0672,1.2120,1.4998,2
AKIRIN2,0.8928,1.1695,1.8500,1.7847,0.8375,0.8121,0.9275,0.8646,0.9075,0.8937,9
AKNA,1.0568,1.0078,0.8110,1.1629,1.3022,1.2074,1.3380,1.6399,0.9335,0.9389,9
AKR1A1,4.2985,3.9437,1.4073,1.0815,0.5593,0.5690,0.4510,0.4545,0.3888,0.4021,57
AKR1B10,4.1560,4.1234,1.4506,1.1548,0.5221,0.4820,0.4522,0.3983,0.4982,0.4382,11
AKR1C2,3.9922,3.3547,1.5694,1.4530,0.6010,0.6124,0.5601,0.5519,0.3920,0.3758,14
AKR1C3,4.6992,4.2084,1.4504,1.1226,0.5469,0.4493,0.3739,0.3618,0.3283,0.3125,57
AKR7A2,2.9639,2.5724,1.1494,1.1479,0.9498,0.8188,0.9065,0.9901,0.5707,0.7608,18
AKT1,4.1705,3.7492,0.9265,0.9151,0.7563,0.6507,0.7732,0.7280,0.5211,0.5370,61
AKT1S1,4.3770,4.3314,0.8217,0.9343,0.7277,0.5870,0.5706,0.6855,0.6473,0.6357,17
AKT2,3.1021,2.7620,1.0441,1.1608,0.8657,0.8250,0.8748,0.8706,0.7427,0.7099,46
AKTIP,4.1457,3.9895,0.8927,0.8447,0.7209,0.7263,0.7816,0.7791,0.6519,0.7295,14
ALAD,4.0642,3.8524,1.0946,1.0479,0.5520,0.6156,0.4815,0.4968,0.4905,0.5211,40
ALAS1,0.7874,0.6329,1.0687,0.9359,1.2845,1.3892,1.9989,1.8092,0.6756,0.6777,25
ALB,4.4068,4.7706,0.9668,0.7833,0.5486,0.5598,0.5425,0.5701,0.5169,0.5410,191
ALCAM,0.4433,0.4464,0.2850,0.3604,1.5709,1.5191,2.3076,2.1991,1.2544,1.3763,68
ALDH16A1,3.4435,3.2166,1.0740,1.1577,0.6945,0.7095,0.6076,0.5639,0.7234,0.7133,51
ALDH18A1,0.5254,0.5267,0.9089,0.7955,1.4799,1.6081,2.0162,2.0077,0.6320,0.5994,305
ALDH1A3,5.8548,5.5983,0.7721,0.7796,0.3965,0.4119,0.3876,0.4653,0.3566,0.4425,32
ALDH1B1,0.4504,0.4777,1.1618,0.9460,1.3166,1.4087,1.7934,1.7695,0.5649,0.5733,95
ALDH3A1,4.2089,3.7804,0.9379,0.7243,0.7424,0.4865,0.6804,0.5982,0.4163,0.4188,8
ALDH3A2,0.3452,0.3302,0.2728,0.2974,1.3499,1.3589,2.0038,2.1105,1.5871,1.5723,61
ALDH3B1,0.9733,0.9803,0.6383,0.7039,1.1530,1.1078,1.6876,1.5568,1.5369,1.2825,9
ALDH4A1,0.6019,0.5783,1.1737,0.8706,1.3752,1.5277,1.9288,1.7749,0.5604,0.5497,123
ALDH5A1,0.4588,0.4573,1.1804,0.8653,1.4003,1.5736,1.9684,2.0566,0.6224,0.5654,99
ALDH6A1,0.5211,0.4983,1.1300,0.9114,1.3831,1.5318,1.9179,1.8738,0.5846,0.5858,137
ALDH7A1,1.9981,1.8378,1.1062,0.8964,1.1836,1.2807,1.5660,1.5637,0.4854,0.4734,150
ALDH9A1,3.0753,2.9685,1.1435,1.0216,0.8698,0.9671,1.0745,1.1118,0.5110,0.4916,130
ALDOA,4.7644,4.4133,0.9082,1.0228,0.3967,0.4369,0.3889,0.3762,0.3922,0.3678,948
ALDOC,5.1867,4.7951,0.9488,1.0176,0.4247,0.4987,0.3753,0.3488,0.3271,0.3778,85
ALG1,0.5808,0.5731,0.6403,0.7843,1.2023,1.2088,1.8852,1.7725,1.4228,1.2745,33
ALG11,0.3640,0.4431,0.3343,0.3238,1.3340,1.3857,1.6660,2.1433,1.6017,1.8774,8
ALG12,0.3950,0.4463,0.1850,0.2680,1.3696,1.5106,1.8394,2.1146,1.2959,1.2557,2
ALG13,2.6705,2.3226,0.9051,1.0700,0.8436,0.9274,0.9291,0.9477,0.6818,0.7077,12
ALG14,0.6584,0.6312,0.4215,0.5083,1.5126,1.5335,2.0879,1.9169,1.5212,1.4767,13
ALG2,0.5543,0.5069,0.5150,0.4620,1.2804,1.3459,1.8375,1.8747,1.3364,1.2868,56
ALG3,0.2582,0.2036,0.2363,0.3017,1.4458,1.1841,2.4289,2.4747,1.6732,1.3628,11
ALG5,0.4063,0.3583,0.3207,0.3387,1.4025,1.3398,2.1329,2.1571,1.6251,1.5179,67
ALG6,0.5063,0.5295,0.3902,0.4836,1.3818,1.3762,2.1216,2.0019,1.4610,1.4763,13
ALG8,0.4637,0.4619,0.3996,0.5043,1.4588,1.4399,1.6439,1.8313,1.2019,0.8179,8
ALKBH1,1.0757,0.9051,1.0597,0.8811,1.2491,1.4034,1.7529,1.7632,0.7301,0.7572,31
ALKBH2,0.4982,0.7480,1.1829,0.8980,0.8824,0.8947,0.9039,0.9179,2.1680,2.7022,14
ALKBH3,2.1935,2.4205,1.3020,1.3363,0.7542,0.8592,0.7682,0.6650,0.5648,0.6217,11
ALKBH4,3.5452,3.5988,1.3425,1.2131,0.7322,0.6836,0.7076,0.6533,0.4513,0.4832,18
ALKBH5,0.4235,0.4136,2.1558,2.4475,0.8588,0.8528,0.5276,0.5583,0.8371,0.8404,53
ALKBH6,2.7813,1.8426,0.9319,1.1050,0.7704,0.9520,1.0101,0.7964,0.4071,0.7317,6
ALKBH7,1.1511,0.9899,0.9491,0.7039,1.3895,1.5368,1.8958,1.7090,0.7370,0.7111,12
ALKBH8,3.3128,3.7819,1.0917,0.7785,0.6727,0.7872,0.6200,0.9983,0.6095,0.7014,3
ALMS1,1.9372,1.7927,1.0066,1.1388,0.9958,0.9848,1.1473,1.1292,1.1352,1.1583,102
ALOX15,4.1412,3.8458,0.8402,0.8158,0.6961,0.8049,0.8276,0.8295,0.7382,1.0070,2
ALOXE3,1.9191,1.9446,0.9858,1.0408,1.0546,0.9520,1.1185,1.0404,0.8857,1.0095,5
ALS2,3.9198,3.4749,0.8203,0.9054,0.7457,0.8098,0.8129,0.9584,0.6929,0.7903,17
ALS2CL,2.5781,2.3347,1.0590,0.7601,1.1305,0.9050,1.1050,1.1782,0.8002,0.5292,6
ALYREF,0.5851,0.6845,0.5935,0.6643,1.3249,1.4007,1.0703,1.1319,2.0790,1.9026,231
AMACR,0.9667,0.8667,0.7908,0.6728,1.3540,1.3146,2.0278,1.9766,0.9845,0.9672,17
AMBP,1.1535,1.1172,1.5691,0.7948,1.4267,0.7019,1.4723,1.3784,1.3983,1.1819,12
AMBRA1,1.2767,1.1542,2.0215,1.6814,0.9785,0.7874,0.8692,0.8140,0.8054,0.7458,35
AMD1,4.3653,3.0730,1.9073,1.0924,0.6036,0.4143,0.6092,0.4483,0.4994,0.4303,5
AMDHD2,4.7917,4.2414,0.8081,0.8495,0.5470,0.4761,0.5389,0.5552,0.5755,0.4702,10
AMER1,0.5650,0.5157,0.7854,0.9471,1.0752,1.2544,2.0400,1.8453,1.3856,1.5425,2
AMFR,0.7342,0.6259,0.3501,0.4613,1.1985,1.1335,1.8616,1.7539,1.4397,1.5537,22
AMIGO1,0.5889,0.5147,0.5253,0.5081,1.2464,1.3224,1.8264,1.8815,1.3714,1.4774,5
AMIGO2,0.5253,0.4856,0.4466,0.4511,1.3201,1.2644,2.0232,2.0532,1.7988,1.8130,16
AMIGO3,1.1388,0.6223,0.5999,0.5031,1.2602,1.0861,1.8782,2.0932,1.2257,1.2721,4
AMMECR1,2.1535,2.5503,2.0329,1.4044,0.8728,0.7446,0.7050,0.8883,0.5434,0.6528,3
AMMECR1L,0.7762,1.0171,2.3734,1.4314,1.1367,0.9340,0.9151,0.8526,0.9196,1.0737,3
AMN1,3.3293,3.3754,0.9600,0.8367,0.8815,0.7851,1.1468,0.9776,0.6316,0.7665,4
AMOT,0.6962,1.0154,1.2316,1.3108,1.3340,1.2090,1.4059,1.2052,1.0090,1.0581,10
AMOTL1,0.7712,0.9396,0.9792,1.1612,1.1953,1.2400,1.5691,1.4516,1.0150,1.0387,21
AMOTL2,1.8728,1.9062,1.1773,1.2797,0.9376,1.0244,1.1827,1.0528,0.7521,0.8302,27
AMPD2,4.9367,4.7772,0.9472,0.9196,0.4968,0.5437,0.5099,0.4727,0.4342,0.4680,62
AMPD3,4.8807,4.7116,0.6883,0.7883,0.6722,0.6405,0.7938,0.6864,0.6091,0.7927,1
AMZ1,4.3766,4.4462,1.0322,0.8045,0.8371,0.5079,0.7197,0.6737,0.5511,0.8693,1
AMZ2,2.7644,2.7688,1.0947,0.7881,0.9555,0.8716,0.9748,1.0627,0.9744,0.9686,13
ANAPC1,1.6858,1.5769,1.1152,0.8773,0.8062,0.7644,0.7709,0.7901,2.0433,1.9744,97
ANAPC10,1.7351,1.7171,1.2228,0.6947,0.6669,0.6593,0.6113,0.6058,2.5659,2.0990,9
ANAPC11,3.1592,3.4397,0.9946,0.4577,0.7020,0.7046,0.3681,0.7723,1.5565,1.9768,1
ANAPC13,2.7863,2.3619,1.2557,0.8188,0.5210,0.5708,0.4588,0.4715,1.3246,1.2818,11
ANAPC15,1.7692,1.3620,1.3263,1.1734,0.7714,0.7536,0.6766,0.8090,2.2561,1.6898,2
ANAPC16,1.5640,1.4446,1.4583,1.6325,0.6834,0.6588,0.7235,0.6335,1.7184,1.7312,11
ANAPC2,1.9739,1.8563,1.1309,0.7683,0.7827,0.7940,0.8579,0.8436,1.8170,1.4739,55
ANAPC4,2.0753,2.0134,1.0850,0.7302,0.7791,0.7609,0.7946,0.7984,1.7923,1.8288,44
ANAPC5,2.0725,1.9995,1.0231,0.8500,0.8067,0.8218,0.8007,0.8759,1.7168,1.8672,49
ANAPC7,1.4820,1.3700,1.2050,1.0096,0.8974,0.7978,0.8089,0.8273,2.0641,1.8868,68
ANGEL1,0.4956,0.4832,0.3840,0.3489,1.0344,1.0739,1.7517,1.6934,2.4288,2.2574,25
ANGEL2,0.5821,0.6169,1.8310,1.5201,1.0280,1.0569,1.0579,0.9935,1.2678,1.2701,13
ANGPTL4,0.9780,0.5888,1.0250,0.9705,1.2347,1.1945,1.3215,1.7358,1.3407,1.5462,2
ANK1,1.7183,1.9751,1.0638,1.2979,0.8996,0.8685,0.7220,1.1003,0.8561,0.8191,5
ANK2,1.5267,1.1870,2.1318,2.7042,0.9297,0.8873,0.4970,0.7077,0.4287,0.2283,2
ANK3,1.7386,1.5856,1.3492,1.4148,1.0262,1.0955,1.0615,1.1309,0.5732,0.6806,199
ANKEF1,1.5255,1.6213,0.5593,0.4909,1.0319,1.2537,1.2759,1.3278,1.7087,1.8464,7
ANKFY1,2.7650,2.7668,1.5217,1.1991,0.7965,0.7153,0.9016,0.8479,0.7507,0.7056,80
ANKH,1.4595,1.1622,0.9322,1.0251,1.0490,0.7963,1.6895,1.3246,2.3871,1.3814,1
ANKHD1,2.6356,2.6176,1.2725,1.5283,0.7823,0.7678,0.8664,0.9380,0.7813,0.8765,7
ANKIB1,1.4509,1.3643,0.8371,0.7926,1.1491,1.0705,1.4395,1.4927,1.2332,1.3920,39
ANKLE2,0.8357,0.7706,0.4239,0.4834,1.2497,1.2788,2.0016,1.8743,1.4751,1.4967,100
ANKMY2,3.9894,3.5748,0.8132,0.9319,0.7431,0.7514,0.9243,0.9701,0.6169,0.7432,31
ANKRA2,2.1729,2.0033,1.4117,1.3951,0.6345,0.5711,0.7753,0.9478,1.0181,0.6609,3
ANKRD10,0.2636,0.2765,1.8245,2.1303,0.9651,0.8459,0.6971,0.6707,1.1678,1.0341,3
ANKRD11,0.4862,0.4794,1.4104,1.6088,1.3014,1.4323,0.8093,0.8717,1.3091,1.4336,69
ANKRD12,0.5588,0.7092,1.6212,1.6997,0.9718,1.0379,0.7339,0.8244,1.1124,1.3254,27
ANKRD13A,2.7609,2.4649,0.7042,0.7939,0.9044,0.9518,1.1430,1.2027,1.2731,1.2891,30
ANKRD13B,2.2084,1.9312,0.9787,2.2586,0.7380,0.9399,1.0552,0.9125,0.6783,0.7812,1
ANKRD13C,1.5058,1.5605,0.8403,0.6676,1.0982,1.1640,1.5520,1.3958,1.3267,1.5787,4
ANKRD13D,3.6760,3.2495,0.9110,1.0752,0.8874,0.9030,0.9347,1.0044,0.8287,0.7792,12
ANKRD16,4.0409,4.0184,1.0348,1.0170,0.6920,0.5332,0.5535,0.5238,0.6059,0.6351,13
ANKRD17,1.9094,1.8755,1.3809,1.4291,0.6757,0.6816,0.6915,0.7273,1.2935,1.3550,91
ANKRD22,0.4001,0.5637,0.4295,0.4674,1.2222,1.3352,1.8020,1.7182,1.8347,1.9973,5
ANKRD24,1.3094,1.6953,1.5850,2.2768,0.7102,0.8441,0.7509,0.7864,0.5786,0.6371,3
ANKRD26,1.4876,1.3913,1.1629,1.4208,1.0234,1.0810,1.2378,1.2571,0.8265,1.0477,44
ANKRD27,0.8151,0.7872,0.7001,0.7970,0.8492,0.8521,1.1263,1.1536,2.2024,2.3003,80
ANKRD28,4.1932,3.8972,0.9780,0.9249,0.7587,0.6725,0.6223,0.7795,0.8188,0.9301,34
ANKRD32,0.8776,1.0368,0.5385,0.5139,1.6810,2.0914,1.2800,1.3499,0.8113,0.9345,8
ANKRD35,0.6691,0.6785,0.5797,0.6198,1.4651,1.4951,1.9909,1.9713,1.1409,1.2495,33
ANKRD36C,1.9710,2.2316,1.1553,0.9818,0.7588,0.7218,1.0894,1.0469,0.8798,1.2588,5
ANKRD39,4.1020,4.1458,1.0520,1.1042,0.6383,0.6374,0.6826,0.5626,0.6284,0.6335,16
ANKRD40,1.7912,1.6610,1.2444,1.1782,0.8239,0.8519,0.9394,0.7739,0.8778,0.8891,14
ANKRD42,1.3086,1.6586,0.8063,0.9335,1.0179,0.8608,1.1039,0.9501,1.9473,2.1760,2
ANKRD44,3.7406,3.4698,0.8424,0.8527,0.7519,0.7641,0.7962,0.8896,0.7122,0.8783,14
ANKRD46,0.5215,0.5057,0.6000,0.6905,1.2926,1.3058,1.9643,2.0399,1.5322,1.2411,8
ANKRD49,5.6261,5.4287,0.6489,0.5870,0.3898,0.4165,0.2712,0.3426,0.4781,0.2942,2
ANKRD50,2.2799,1.9166,1.2951,1.3914,0.8646,0.8904,0.9246,1.0057,0.7834,0.8877,102
ANKRD52,3.5356,3.0795,1.0551,1.1283,0.7414,0.7187,0.6873,0.7950,0.6589,0.7658,43
ANKRD54,1.9859,1.4825,1.8219,2.0213,0.7280,0.8225,0.5835,0.6595,0.5332,0.4773,16
ANKRD9,4.3406,3.8981,1.0389,0.9403,0.7532,0.6456,0.8717,0.6832,0.7117,0.6980,2
ANKS1A,5.7214,5.4075,0.6231,0.7199,0.4947,0.5960,0.4969,0.6308,0.3623,0.4495,54
ANKS6,2.8775,3.5066,0.8175,0.7037,0.9617,1.3249,1.3529,1.0540,0.7139,0.6660,3
ANKZF1,1.8900,1.8310,1.2289,1.3808,0.7077,0.7133,0.7373,0.7652,1.4789,1.5801,44
ANLN,0.9704,0.9547,2.0804,2.6433,0.7890,0.7766,0.6935,0.7044,0.4816,0.5170,141
ANO10,0.4718,0.5104,0.3239,0.2990,1.3551,1.3260,2.1762,2.1163,1.6591,1.6299,37
ANO6,0.4532,0.4677,0.3694,0.4500,1.2958,1.2560,2.0763,1.9720,1.7109,1.7344,63
ANO8,0.4324,0.4056,0.3081,0.4259,1.3320,1.3307,1.9586,1.9631,1.8233,1.5361,15
ANO9,0.5604,0.6540,0.7024,0.8807,1.3362,1.4439,1.6199,1.5400,1.4235,1.5848,9
ANP32A,0.6490,0.7963,2.4502,3.0378,0.6158,0.6240,0.4524,0.4096,0.3594,0.3557,218
ANP32B,0.6749,0.8048,2.6885,2.8233,0.6201,0.6040,0.4042,0.3709,0.3380,0.3293,189
ANTXR1,0.5008,0.5080,0.3360,0.3181,1.0494,1.2409,1.8946,1.7671,1.6321,2.0443,9
ANXA1,3.9433,3.6020,1.4686,1.3725,0.5131,0.5697,0.4618,0.4306,0.3623,0.4219,120
ANXA11,3.3387,3.2386,1.3122,1.1235,0.7507,0.7376,0.7529,0.7098,0.5544,0.5995,105
ANXA2,2.3195,2.2930,1.5533,1.4363,0.8264,0.7922,0.9190,0.8376,0.6713,0.6944,885
ANXA3,4.2795,4.1223,1.4253,1.1721,0.5026,0.4871,0.4664,0.4225,0.3608,0.3786,106
ANXA4,4.5164,4.3387,1.4149,1.0793,0.5136,0.4671,0.4264,0.4074,0.3864,0.3935,206
ANXA5,4.9582,4.8305,1.4119,1.0286,0.4536,0.4055,0.3570,0.3169,0.2612,0.2535,294
ANXA6,5.6574,5.0851,0.7826,0.7818,0.4596,0.4746,0.4718,0.4558,0.4058,0.3937,73
ANXA7,3.6162,3.5166,0.8722,0.8795,0.7732,0.7447,0.8126,0.8404,0.6225,0.7426,99
ANXA9,0.8439,0.8226,1.0304,1.0800,1.3790,1.4413,1.5705,1.5606,0.9283,1.0933,26
AP1AR,0.5092,0.6145,0.4246,0.5141,0.8370,0.8378,1.2814,1.2196,3.0120,2.8398,13
AP1B1,2.5514,2.3519,0.7520,0.6681,0.8870,0.8808,1.1425,1.1580,1.5268,1.3403,175
AP1G1,2.6051,2.5271,0.8075,0.7659,0.8091,0.7783,0.9986,0.9483,1.6502,1.5224,211
AP1G2,3.3182,3.1594,0.8709,0.8195,0.8162,0.7282,0.9181,0.9486,1.1466,1.0081,32
AP1M1,2.4031,2.4281,0.8443,0.8378,0.8132,0.8161,0.9763,0.9452,1.5178,1.3050,77
AP1M2,2.3121,2.1004,0.8422,0.7508,0.7843,0.8205,1.0993,1.0271,1.6186,1.5185,72
AP1S1,2.6633,2.6479,0.7761,0.6318,0.7545,0.7409,1.0805,1.0114,1.5916,1.4932,21
AP1S2,1.9789,1.9971,0.7888,1.0195,0.8087,0.8111,1.0992,0.9864,1.2740,1.2350,9
AP1S3,1.6973,1.6028,0.8533,0.7183,0.8955,0.7962,1.2813,1.1450,2.0377,1.5080,3
AP2A1,0.9828,0.9321,0.6842,0.6245,1.4330,1.3848,1.6803,1.7568,1.2197,1.2609,204
AP2A2,1.0605,0.9586,0.6255,0.5600,1.4078,1.3634,1.7840,1.7789,1.2251,1.2748,80
AP2B1,1.1961,1.0995,0.6532,0.5284,1.4054,1.2894,1.7866,1.7648,1.2406,1.1105,162
AP2M1,1.0139,0.9760,0.6846,0.6919,1.3468,1.3721,1.6635,1.7523,1.2632,1.2586,118
AP2S1,1.0644,0.9638,0.5002,0.4893,1.3856,1.4632,1.7632,1.8020,1.3249,1.4828,36
AP3B1,4.2578,3.8486,0.9016,0.8943,0.6853,0.6866,0.7035,0.7569,0.7123,0.7875,100
AP3B2,2.0955,2.2690,1.0831,0.8669,1.0938,1.0584,1.3556,1.2751,0.6842,0.9310,4
AP3D1,3.8312,3.7580,0.9010,0.8315,0.7267,0.6914,0.7751,0.8224,0.8028,0.8651,133
AP3M1,4.2765,4.0591,0.9856,0.7688,0.6821,0.6655,0.6399,0.8329,0.7394,0.7847,38
AP3M2,4.7464,4.7306,1.1697,0.9307,0.5318,0.6410,0.5420,0.7483,0.5079,0.6631,6
AP3S1,3.5877,3.5208,0.9045,0.8365,0.8477,0.9165,0.7672,0.9583,0.9637,1.0748,10
AP3S2,4.3922,3.9103,0.7567,0.6807,0.8305,0.6825,1.0296,1.0882,0.8474,0.6065,2
AP4B1,2.9615,2.7123,0.7265,0.8156,0.9861,0.8658,0.9949,1.1388,1.1325,1.1694,46
AP4E1,3.9852,3.8789,0.7478,0.7063,0.7347,0.7101,0.8525,0.8496,1.0740,1.1345,46
AP4M1,3.3492,3.1249,0.6253,0.4799,1.0400,1.0028,1.0220,1.1283,1.1409,1.2259,16
AP4S1,3.8147,3.8231,0.5839,0.7672,0.8462,0.7591,0.8658,0.8328,1.0982,0.8954,14
AP5B1,2.1770,2.5157,0.8402,0.7633,0.9477,0.8064,1.2525,1.0514,1.4364,1.2171,15
AP5M1,2.3981,2.3489,1.1392,0.8721,0.8839,0.8289,0.9996,1.1277,1.2130,1.3150,17
AP5S1,2.6771,2.6678,0.8186,0.9393,0.9610,0.9121,1.1240,1.1363,1.0434,1.1157,9
AP5Z1,2.6486,2.2459,0.8484,0.9020,1.0036,1.0079,1.0385,1.0945,1.0923,1.0883,19
APAF1,4.4767,4.2925,0.9835,0.9788,0.5807,0.5760,0.6085,0.4986,0.4665,0.5090,12
APBA1,2.6780,2.7085,1.4160,1.1771,0.9182,0.8035,1.0134,1.0127,0.5307,0.8963,1
APBA2,2.9476,2.8090,1.4064,1.2207,0.8983,0.9086,0.6990,0.7916,0.6851,0.8065,4
APBA3,1.4702,1.4046,1.0081,0.7736,0.9229,0.9606,1.3163,1.4113,1.6860,1.6216,5
APBB2,1.5138,1.2363,1.1677,1.3169,0.9810,1.0500,1.2289,1.2813,1.0162,1.1284,42
APC,1.1893,1.0721,1.3471,1.6113,0.9547,0.9531,1.1415,1.1642,0.9883,1.0558,98
APCS,2.0925,1.0744,0.6783,1.5709,1.2336,1.1076,1.7703,1.0111,1.2103,0.9616,5
APEH,5.5281,5.0189,0.8252,0.8806,0.5014,0.4934,0.5306,0.5177,0.5350,0.5140,53
APEX1,0.6019,0.6677,2.3691,2.5304,0.7028,0.6530,0.4930,0.4739,0.5195,0.5191,277
APEX2,1.6045,1.5804,1.5275,1.1119,0.9403,0.9473,1.1693,1.1628,1.0235,0.8725,6
APH1A,0.6089,0.7191,0.3378,0.4036,1.2835,1.1495,1.6720,1.8930,1.5450,1.7324,15
APH1B,0.2312,0.3561,0.9889,0.9827,1.0044,1.0578,1.2242,1.0830,2.2361,1.7314,3
API5,0.6642,0.6681,1.5888,1.5163,1.2641,1.2003,1.0837,1.0578,0.7903,0.7819,175
APIP,1.6309,2.0210,1.8289,2.0752,0.6690,0.7466,0.6603,0.6662,0.4572,0.5628,26
APLF,0.7607,0.6804,1.1840,1.2209,1.1549,1.1368,0.9169,0.8577,1.4706,1.5905,3
APLP2,0.5685,0.5238,0.4382,0.4262,0.9737,1.0226,1.8398,1.7670,1.9313,2.0411,42
APMAP,0.7029,0.6710,0.4911,0.5746,1.3779,1.3204,2.0243,1.9378,1.3924,1.2729,260
APOA1,2.2135,2.2188,0.9594,0.8636,0.5433,0.6892,0.5670,2.8499,0.8418,0.6262,48
APOA1BP,2.9285,2.7121,1.4094,1.1394,0.7993,0.8461,1.0802,1.0681,0.5441,0.4445,43
APOA2,2.0409,2.3056,0.9787,1.3825,0.6664,0.9371,0.6404,2.1611,0.7131,0.5955,6
APOA4,1.6141,1.6462,1.1993,0.8944,0.9340,0.8862,0.9085,2.0871,1.0768,0.9154,54
APOB,1.5730,1.7818,0.9348,1.1388,0.9056,0.9390,1.0016,1.5128,1.5698,0.9415,97
APOBEC3B,0.5469,0.5262,0.5590,0.5697,1.6459,1.6986,0.8740,1.1269,1.9283,1.8943,15
APOC1,1.1806,0.9807,0.9410,1.2950,1.2743,1.1972,1.0306,1.8545,1.2177,1.0556,2
APOC3,0.7860,0.5882,0.3605,0.3952,1.7891,1.7364,2.1681,2.4265,1.1337,0.9155,2
APOD,0.4847,0.4816,0.4756,0.4583,1.0620,1.1539,1.7780,1.8850,2.2192,2.2339,12
APOE,1.4532,1.2905,0.9739,1.4627,0.6623,0.8788,0.7133,1.7706,1.7167,0.6839,8
APOH,1.7971,1.7393,1.3652,1.0287,1.0781,0.8991,1.0625,1.1700,1.1462,1.0415,39
APOL2,0.9717,1.0185,0.7575,0.7948,1.2755,1.2700,1.6794,1.5317,1.2356,1.2663,22
APOM,1.3333,1.2036,0.4660,0.4911,1.4983,1.2878,1.8413,1.7070,1.3871,1.3812,3
