Protein.ID,Loc.Predicted,Loc.Confirmed,Loc.Assigned,M1F1A,M1F4A,M1F7A,M1F11A,M1F2B,M1F5B,M1F8B,M1F11B,M2F1A,M2F4A,M2F7A,M2F11A,M2F2B,M2F5B,M2F8B,M2F11B
At1g53840,unknown,unknown,"not classified",0.16675,0.329333,0.294,0.21,0.213333,0.3674,0.2504,0.169,0.115714,0.3,0.363571,0.220571,0.1703,0.3241,0.296,0.2099
At1g73990,unknown,unknown,"not classified",0.131,0.202667,0.284667,0.381667,0.08225,0.17625,0.29825,0.44275,0.138667,0.182,0.301333,0.378,0.1345,0.2785,0.2765,0.3105
At4g21960,unknown,unknown,"not classified*",0.21,0.222,0.299143,0.268857,0.3135,0.232667,0.251167,0.202667,0.2536,0.2742,0.2772,0.1951,0.2235,0.228833,0.325,0.222667
At5g64100,unknown,unknown,"not classified",0.14825,0.2715,0.2545,0.32575,0.204333,0.21,0.247667,0.337667,0.0996667,0.239,0.292333,0.369,0.1315,0.198,0.2985,0.372
At2g31390,unknown,unknown,"not classified",0.3695,0.197,0.214,0.2195,0.299,0.19775,0.21,0.29375,0.354,0.178,0.195333,0.272333,0.3225,0.1395,0.2515,0.2865
At3g03520,unknown,unknown,"not classified",0.46,0.195,0.153,0.19225,0.4942,0.1692,0.1464,0.1896,0.4474,0.1658,0.1802,0.2066,0.3968,0.1736,0.2064,0.2232
At3g51460,unknown,unknown,"not classified",0.231,0.354,0.215,0.201,0.3394,0.2384,0.2076,0.2148,0.242667,0.361,0.232167,0.163833,0.298167,0.284,0.216167,0.20175
At3g08510,unknown,unknown,"not classified",0.1645,0.31975,0.228,0.288,0.3485,0.201,0.1795,0.271,0.130714,0.251786,0.281786,0.335571,0.166556,0.213556,0.282889,0.337222
At1g01610,unknown,unknown,"not classified",0.206444,0.287889,0.264556,0.241222,0.290364,0.260364,0.237091,0.212273,0.14475,0.286875,0.335625,0.232625,0.182333,0.281333,0.298667,0.237333
At4g17140,unknown,unknown,"not classified",0.343,0.2405,0.1825,0.2335,0.35,0.135,0.265,0.25,0.373429,0.159429,0.196286,0.271286,0.357,0.137,0.243,0.263
At3g46290,unknown,unknown,"not classified",0.154,0.294,0.279,0.272,0.182,0.277,0.32,0.22,0.148,0.242,0.27775,0.33275,0.208,0.222,0.242,0.3285
At3g23450,unknown,unknown,"not classified",0.0987727,0.250455,0.294841,0.356227,0.176,0.223,0.261,0.34,0.0405,0.20655,0.34085,0.41225,0.102,0.227,0.305,0.367
At3g54840,unknown,unknown,"not classified",0.3105,0.245,0.208,0.2365,0.414,0.1675,0.195,0.224,0.3374,0.1932,0.2218,0.2476,0.249,0.207333,0.28,0.263333
At4g17170,unknown,unknown,"not classified",0.316667,0.211,0.225333,0.247,0.2955,0.214,0.2405,0.2495,0.2505,0.23775,0.237,0.2755,0.1985,0.2155,0.2855,0.30025
At1g09630,unknown,unknown,"not classified",0.2605,0.2535,0.256,0.23,0.3054,0.2344,0.2318,0.2284,0.1905,0.2715,0.3025,0.2355,0.219333,0.233,0.291667,0.255667
At1g43890,unknown,unknown,"not classified",0.307,0.252,0.227,0.214,0.346,0.216,0.191,0.247,0.329667,0.213333,0.228667,0.228333,0.22725,0.21675,0.26575,0.2905
At3g11730,unknown,unknown,"not classified",0.292,0.271,0.234,0.203,0.3075,0.2705,0.217,0.205,0.1605,0.2805,0.287,0.272,0.1865,0.24,0.301,0.2725
At3g18820,unknown,unknown,"not classified",0.349,0.235222,0.203111,0.212667,0.355,0.203,0.202,0.239875,0.304833,0.218333,0.244167,0.2325,0.269333,0.228333,0.237333,0.265
At1g16920,unknown,unknown,"not classified",0.207,0.261,0.285,0.246,0.2725,0.1895,0.264,0.274,0.19575,0.241,0.27825,0.2845,0.177,0.234,0.321,0.268
At4g39990,unknown,unknown,"not classified",0.281,0.244,0.239,0.235,0.2535,0.215,0.2475,0.284,0.2555,0.1725,0.2595,0.312,0.158,0.211,0.317,0.314
At4g19640,unknown,unknown,"not classified",0.287,0.28,0.221,0.212,0.34,0.184,0.221,0.255,0.233,0.266,0.258,0.243,0.2615,0.2065,0.276,0.256
At4g18430,unknown,unknown,"not classified",0.259667,0.272667,0.25,0.217333,0.3025,0.258,0.2285,0.211,0.232,0.244,0.29,0.234,0.205,0.2365,0.3055,0.253
At5g45750,unknown,unknown,"not classified",0.136,0.314,0.283,0.267,0.345333,0.272333,0.203333,0.179,0.217,0.2502,0.2622,0.2704,0.21,0.225,0.3015,0.2635
At3g46830,unknown,unknown,"not classified",0.291333,0.242667,0.223333,0.242667,0.3432,0.2078,0.2172,0.232,0.213333,0.256,0.274667,0.256333,0.14725,0.22975,0.3135,0.30925
At5g45130,unknown,unknown,"not classified",0.295,0.26,0.226,0.219,0.335,0.221,0.221,0.222,0.214333,0.249,0.285667,0.250667,0.184,0.224,0.3285,0.264
At5g47910,unknown,unknown,"not classified",0.1525,0.304,0.308,0.235,0.29325,0.2325,0.225875,0.2485,0.148333,0.282167,0.272167,0.297667,0.206333,0.231333,0.282,0.28
At4g23630,unknown,unknown,"not classified",0.269571,0.318286,0.227,0.185571,0.385455,0.284273,0.184273,0.145909,0.2536,0.3718,0.2244,0.149867,0.331222,0.324111,0.197222,0.147444
At1g22530,unknown,unknown,"not classified",0.1355,0.291,0.25375,0.32,0.21025,0.251,0.1985,0.34025,0.1186,0.2468,0.3132,0.3208,0.14,0.271,0.308333,0.280667
At3g43190,unknown,unknown,"not classified",0.4055,0.2095,0.186,0.199,0.356333,0.186,0.206667,0.250667,0.377333,0.185,0.200333,0.237,0.389,0.17,0.193,0.248
At3g11820,unknown,unknown,"not classified",0.241,0.265,0.257,0.237,0.28,0.2495,0.2465,0.2235,0.214,0.2575,0.273,0.256,0.18,0.224333,0.294,0.302
At3g05710,unknown,unknown,"not classified",0.095,0.293,0.369,0.243,0.176667,0.367333,0.273,0.182667,0.083,0.273,0.43,0.214,0.0875,0.3035,0.3575,0.2515
At5g08080,unknown,unknown,"not classified",0.16,0.276667,0.262667,0.300667,0.28275,0.285,0.19775,0.23425,0.1185,0.281,0.2725,0.328,0.1435,0.22425,0.3015,0.331
At1g24510,unknown,unknown,"not classified",0.246,0.254,0.238,0.261,0.372,0.221,0.193,0.214,0.311,0.202,0.212333,0.275,0.24,0.18,0.26,0.32
At5g42980,unknown,unknown,"not classified",0.341,0.234667,0.213667,0.210333,0.345,0.20475,0.2135,0.2365,0.3752,0.1998,0.2292,0.1958,0.34675,0.18625,0.249,0.2175
At4g00090,unknown,unknown,"not classified",0.203,0.276,0.234,0.286,0.333667,0.213333,0.200333,0.253,0.2355,0.3045,0.241357,0.218571,0.283143,0.291857,0.234714,0.19
At2g20807,unknown,unknown,"not classified*",0.2045,0.2425,0.285,0.2675,0.239125,0.206375,0.2885,0.266125,0.12325,0.221,0.39725,0.2585,0.1465,0.234,0.3375,0.2815
At5g03895,unknown,unknown,"not classified",0.193,0.172,0.234,0.401,0.067,0.144,0.346,0.4425,0.057,0.1055,0.2545,0.5835,0.084,0.089,0.311,0.516
At5g20350,unknown,unknown,"not classified*",0.163,0.284333,0.318,0.234667,0.13,0.282,0.298,0.29,0.158,0.309333,0.324667,0.207333,0.1295,0.343,0.3185,0.209
At4g39400,"known PM","known PM","plasma membrane",0.222,0.262,0.242,0.274333,0.3135,0.21475,0.23325,0.23825,0.186857,0.257571,0.268286,0.287429,0.192,0.22,0.279667,0.308
At2g18960,"known PM","known PM","plasma membrane",0.1763,0.3043,0.2254,0.2941,0.285857,0.235714,0.207,0.271429,0.1511,0.2453,0.2695,0.334,0.1686,0.2126,0.2704,0.3486
At4g30190,"known PM","known PM","plasma membrane",0.173857,0.292714,0.256143,0.277429,0.251667,0.222333,0.236,0.289833,0.132125,0.250375,0.29025,0.327125,0.153714,0.227714,0.290143,0.328143
At4g03550,"known PM","known PM","plasma membrane",0.1515,0.319375,0.23625,0.293125,0.2812,0.2224,0.2344,0.2619,0.118333,0.237222,0.304333,0.340222,0.1435,0.2315,0.3015,0.323375
At4g29900,"predicted PM","predicted PM","plasma membrane",0.16225,0.31625,0.24125,0.2795,0.2935,0.196167,0.220333,0.29,0.151727,0.252091,0.270636,0.325545,0.1685,0.221625,0.300875,0.309125
At5g57110,"predicted PM","predicted PM","plasma membrane",0.174333,0.301,0.223167,0.301333,0.297833,0.212,0.211333,0.278833,0.149667,0.245222,0.269111,0.336,0.169125,0.19925,0.271875,0.36
At3g07390,"predicted PM","predicted PM","plasma membrane",0.168333,0.31075,0.222,0.29875,0.306333,0.188,0.217667,0.287667,0.133143,0.25,0.279,0.337571,0.1455,0.19175,0.31175,0.3505
At4g26690,"predicted PM","predicted PM","plasma membrane",0.160167,0.322333,0.219667,0.297833,0.304,0.198667,0.226833,0.2705,0.1335,0.2515,0.2828,0.3317,0.1705,0.2045,0.283875,0.341125
At5g55480,"predicted PM","predicted PM","plasma membrane",0.179533,0.293,0.240333,0.2868,0.277,0.233,0.210462,0.279615,0.1156,0.240733,0.282533,0.361267,0.156909,0.201182,0.282818,0.359182
At1g74790,"predicted PM","predicted PM","plasma membrane",0.1592,0.3121,0.2308,0.2982,0.284545,0.208273,0.234545,0.272273,0.136125,0.260375,0.265375,0.337875,0.1595,0.221625,0.276375,0.342375
At4g27520,"predicted PM","predicted PM","plasma membrane",0.1874,0.2986,0.2248,0.2892,0.289,0.206667,0.216,0.288667,0.1424,0.2294,0.271,0.3572,0.1612,0.2062,0.2644,0.3684
At2g01630,"predicted PM","predicted PM","plasma membrane",0.214333,0.279,0.239333,0.268,0.2795,0.22325,0.21025,0.28675,0.145333,0.230667,0.308,0.315333,0.153,0.1975,0.29975,0.3495
