Protein,FS1 A HCC827-rep2,FS1 B HCC827-rep2,FS2 A HCC827-rep2,FS2 B HCC827-rep2,FP1 A HCC827-rep2,FP1 B HCC827-rep2,FP2 A HCC827-rep2,FP2 B HCC827-rep2,FP3 A HCC827-rep2,FP3 B HCC827-rep2,MIN PSMs for quant
TMX4,0.2845,0.2755,0.4337,0.4402,1.9036,1.9188,1.9285,1.9465,1.7665,1.6431,12
TNC,0.5343,0.5033,0.8523,0.8311,1.7975,1.9349,1.4475,1.3531,0.9410,0.9003,400
TNFAIP1,1.1081,0.9681,0.9286,1.0211,1.3043,1.3503,1.1592,1.1794,1.1846,1.1772,8
TNFAIP2,1.3592,1.3192,0.8229,0.7868,1.0643,1.0476,1.4013,1.2565,1.0753,1.1359,91
TNFAIP3,2.2122,1.8772,0.9916,1.0223,0.8083,0.8156,0.8494,0.8814,0.7096,0.7775,35
TNFAIP8,2.7092,2.2888,0.9283,0.8593,0.6994,0.7012,0.5614,0.8877,0.6694,0.7590,10
TNFRSF10A,0.3550,0.5410,0.3943,0.3676,1.3350,1.3568,2.1369,1.8884,1.7949,1.9134,7
TNFRSF10B,0.4094,0.4063,0.3638,0.3888,1.5014,1.6698,2.1885,1.9446,1.6301,1.7363,32
TNFRSF10D,0.6690,0.6994,0.6336,0.6721,1.2544,1.1851,1.9185,1.5941,1.6543,1.7512,4
TNFRSF12A,0.6865,0.6118,0.3074,0.3748,1.5195,1.4854,2.4050,2.0180,1.5107,1.3732,1
TNFRSF18,0.7963,0.8245,0.7879,0.8719,1.1778,1.1927,1.3906,1.7446,1.2817,1.4689,2
TNFRSF1A,0.4941,0.4558,0.4118,0.3819,1.2301,1.3425,2.0932,1.9336,1.9577,1.9643,26
TNFRSF1B,0.2512,0.4076,0.5444,0.5138,1.2880,1.5116,2.1396,1.8776,2.1540,1.9063,2
TNFRSF21,0.4542,0.4535,0.5376,0.4867,1.0772,1.0854,1.7953,1.7790,2.0728,2.0933,14
TNFRSF25,0.6646,0.5742,0.6076,0.5463,1.3123,1.3887,1.8679,1.7500,1.5702,1.6607,7
TNFRSF6B,0.4920,0.4814,0.7896,0.7795,1.1674,1.3615,1.5445,1.6360,1.4915,1.3903,4
TNFRSF9,0.2265,0.1777,0.5006,0.6357,1.3799,1.4675,2.0605,2.0683,1.6971,1.7919,2
TNFSF15,1.4949,1.0974,1.1306,1.0036,0.8681,0.9191,0.9966,1.1059,1.0329,1.1884,1
TNIK,1.2163,1.2321,1.2947,1.1390,0.9466,0.8527,0.9164,1.0178,0.9568,0.9799,23
TNIP1,1.8042,1.7052,0.9436,0.9454,0.8352,0.8434,1.0859,1.0037,0.8581,0.8554,33
TNIP2,1.9382,1.9089,0.9277,0.9106,0.9343,0.9569,0.8739,0.8479,0.8127,0.8378,14
TNIP3,1.7341,1.5089,1.2333,1.1290,0.8215,0.7940,0.7529,0.8137,0.6203,0.6054,13
TNK1,2.3060,2.0111,0.7377,0.7049,1.0096,1.0230,0.9537,1.0413,0.8625,0.8429,12
TNK2,1.1594,1.0170,0.7932,0.9096,1.2035,1.2124,1.2056,1.3598,1.3538,1.1961,1
TNKS,1.5179,1.4336,1.0260,0.8950,0.9210,0.8910,1.1576,1.0496,1.1626,1.0185,6
TNKS1BP1,1.7220,1.6023,1.3703,1.3162,0.8172,0.7455,0.7068,0.6903,0.6346,0.5930,245
